commit,case,backend,np,threads,n,steps,phase,total_s,per_step_ms,pct
1f9fb4a,profile-step,kokkos-cuda,1,,256,8,transport,0.003792,0.474048,0.2
1f9fb4a,profile-step,kokkos-cuda,1,,256,8,poisson,1.890184,236.272966,99.1
1f9fb4a,profile-step,kokkos-cuda,1,,256,8,halos,0.003252,0.406460,0.2
1f9fb4a,profile-step,kokkos-cuda,1,,256,8,aux_derive,0.007449,0.931111,0.4
1f9fb4a,profile-step,kokkos-cuda,1,,256,8,reduction,0.000865,0.108130,0.0
1f9fb4a,profile-step,kokkos-cuda,1,,256,8,fence,0.000027,0.003324,0.0
1f9fb4a,profile-step,kokkos-cuda,1,,256,8,alloc_tmp,0.001486,0.185732,0.1
1f9fb4a,profile-step,kokkos-cuda,1,,256,8,TOTAL,1.907054,238.381770,100.0
1f9fb4a,profile-step,mpi+kokkos-cuda,1,,256,8,transport,0.003553,0.444100,0.2
1f9fb4a,profile-step,mpi+kokkos-cuda,1,,256,8,poisson,1.856167,232.020934,99.1
1f9fb4a,profile-step,mpi+kokkos-cuda,1,,256,8,halos,0.002810,0.351245,0.2
1f9fb4a,profile-step,mpi+kokkos-cuda,1,,256,8,aux_derive,0.007036,0.879500,0.4
1f9fb4a,profile-step,mpi+kokkos-cuda,1,,256,8,reduction,0.001056,0.132050,0.1
1f9fb4a,profile-step,mpi+kokkos-cuda,1,,256,8,fence,0.000026,0.003248,0.0
1f9fb4a,profile-step,mpi+kokkos-cuda,1,,256,8,alloc_tmp,0.001816,0.226992,0.1
1f9fb4a,profile-step,mpi+kokkos-cuda,1,,256,8,TOTAL,1.872465,234.058068,100.0
1f9fb4a,profile-step,mpi+kokkos-cuda,2,,256,8,transport,0.003430,0.428776,0.2
1f9fb4a,profile-step,mpi+kokkos-cuda,2,,256,8,poisson,2.247209,280.901133,98.7
1f9fb4a,profile-step,mpi+kokkos-cuda,2,,256,8,halos,0.002993,0.374129,0.1
1f9fb4a,profile-step,mpi+kokkos-cuda,2,,256,8,aux_derive,0.007051,0.881423,0.3
1f9fb4a,profile-step,mpi+kokkos-cuda,2,,256,8,reduction,0.014373,1.796574,0.6
1f9fb4a,profile-step,mpi+kokkos-cuda,2,,256,8,fence,0.000013,0.001640,0.0
1f9fb4a,profile-step,mpi+kokkos-cuda,2,,256,8,alloc_tmp,0.001792,0.224044,0.1
1f9fb4a,profile-step,mpi+kokkos-cuda,2,,256,8,TOTAL,2.276862,284.607720,100.0
1f9fb4a,profile-step,mpi+kokkos-cuda,4,,256,8,transport,0.003679,0.459892,0.2
1f9fb4a,profile-step,mpi+kokkos-cuda,4,,256,8,poisson,2.312824,289.103035,98.8
1f9fb4a,profile-step,mpi+kokkos-cuda,4,,256,8,halos,0.002747,0.343385,0.1
1f9fb4a,profile-step,mpi+kokkos-cuda,4,,256,8,aux_derive,0.006750,0.843800,0.3
1f9fb4a,profile-step,mpi+kokkos-cuda,4,,256,8,reduction,0.014184,1.773011,0.6
1f9fb4a,profile-step,mpi+kokkos-cuda,4,,256,8,fence,0.000013,0.001612,0.0
1f9fb4a,profile-step,mpi+kokkos-cuda,4,,256,8,alloc_tmp,0.001614,0.201788,0.1
1f9fb4a,profile-step,mpi+kokkos-cuda,4,,256,8,TOTAL,2.341812,292.726523,100.0
1f9fb4a,profile-step,mpi+kokkos-cuda,1,,128,8,transport,0.002416,0.301978,0.1
1f9fb4a,profile-step,mpi+kokkos-cuda,1,,128,8,poisson,1.748724,218.590562,99.5
1f9fb4a,profile-step,mpi+kokkos-cuda,1,,128,8,halos,0.001893,0.236659,0.1
1f9fb4a,profile-step,mpi+kokkos-cuda,1,,128,8,aux_derive,0.003195,0.399360,0.2
1f9fb4a,profile-step,mpi+kokkos-cuda,1,,128,8,reduction,0.000788,0.098534,0.0
1f9fb4a,profile-step,mpi+kokkos-cuda,1,,128,8,fence,0.000026,0.003312,0.0
1f9fb4a,profile-step,mpi+kokkos-cuda,1,,128,8,alloc_tmp,0.001063,0.132913,0.1
1f9fb4a,profile-step,mpi+kokkos-cuda,1,,128,8,TOTAL,1.758107,219.763319,100.0
1f9fb4a,profile-step,mpi+kokkos-cuda,4,,512,8,transport,0.008926,1.115779,0.3
1f9fb4a,profile-step,mpi+kokkos-cuda,4,,512,8,poisson,2.569563,321.195394,97.7
1f9fb4a,profile-step,mpi+kokkos-cuda,4,,512,8,halos,0.004899,0.612324,0.2
1f9fb4a,profile-step,mpi+kokkos-cuda,4,,512,8,aux_derive,0.014425,1.803122,0.5
1f9fb4a,profile-step,mpi+kokkos-cuda,4,,512,8,reduction,0.029405,3.675684,1.1
1f9fb4a,profile-step,mpi+kokkos-cuda,4,,512,8,fence,0.000015,0.001840,0.0
1f9fb4a,profile-step,mpi+kokkos-cuda,4,,512,8,alloc_tmp,0.002691,0.336386,0.1
1f9fb4a,profile-step,mpi+kokkos-cuda,4,,512,8,TOTAL,2.629924,328.740530,100.0
